latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-30.837,147.792,317.5,1.1,1,2017-04-29,00:10,T,75,6.0NRT,295.1,12.1
-31.476,149.308,302.6,1,1,2017-04-29,00:10,T,48,6.0NRT,291,4.1
-31.957,147.527,306.2,1.1,1,2017-04-29,00:10,T,59,6.0NRT,293.7,4.8
-31.959,147.538,331.1,1,1,2017-04-29,00:10,T,87,6.0NRT,294.1,30.1
-32.999,149.861,301.7,1,1,2017-04-29,00:10,T,48,6.0NRT,289.1,5.2
-32.941,148.326,303.7,1,1,2017-04-29,00:10,T,55,6.0NRT,290.2,5.2
-32.942,148.336,305.7,1,1,2017-04-29,00:10,T,62,6.0NRT,288.7,6.8
-33.76,149.522,314.6,1,1,2017-04-29,00:10,T,75,6.0NRT,287.7,14.4
-34.462,150.879,309,1.1,1.1,2017-04-29,00:10,T,51,6.0NRT,295.5,7.3
-34.831,146.213,301.8,1.1,1,2017-04-29,00:10,T,49,6.0NRT,290.2,3.4
-34.833,146.224,302.2,1.1,1,2017-04-29,00:10,T,50,6.0NRT,290.4,3.5
-35.759,148.078,316.3,1,1,2017-04-29,00:10,T,72,6.0NRT,284.2,16.8
-35.768,145.841,306,1.1,1,2017-04-29,00:10,T,63,6.0NRT,290.8,5.8
-35.777,145.839,308.3,1.1,1,2017-04-29,00:10,T,67,6.0NRT,290.9,7.6
-41.28,148.123,302.4,1,1,2017-04-29,00:15,T,52,6.0NRT,289,6.3
-41.296,147.766,302,1,1,2017-04-29,00:15,T,50,6.0NRT,288,6.4
-41.53,146.987,303.4,1,1,2017-04-29,00:15,T,56,6.0NRT,289,5.7
26.579,12.228,303.1,3.3,1.7,2017-04-29,00:25,A,53,6.0NRT,290.5,35.4
26.584,12.22,308,3.3,1.7,2017-04-29,00:25,A,73,6.0NRT,290.5,50
11.457,18.78,307.6,1,1,2017-04-29,00:25,A,65,6.0NRT,297.2,5.4
10.61,24.028,304.4,2,1.4,2017-04-29,00:25,A,7,6.0NRT,291.3,16.8
10.607,24.047,315.4,2,1.4,2017-04-29,00:25,A,91,6.0NRT,292.8,38
